symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
INFY,INE009A01021,18-04-2022,BSE,EQ,A,buy,FALSE,1,1620,24641300,1.65E+18,2022-04-18T12:03:15
INFY,INE009A01021,18-04-2022,BSE,EQ,A,buy,FALSE,1,1620,24643300,1.65E+18,2022-04-18T12:03:15
JPASSOCIAT,INE455F01025,04-05-2022,NSE,EQ,EQ,buy,FALSE,20,9,53112610,1.20E+15,2022-05-04T13:10:06
CLEAN,INE227W01023,04-05-2022,BSE,EQ,B,buy,FALSE,1,1870,4067900,1.65E+18,2022-05-04T14:51:47
HDFCBANK,INE040A01034,25-11-2022,NSE,EQ,EQ,sell,FALSE,1,1620,29316591,1.10E+15,2022-11-25T14:59:38
GOLDBEES,INF204KB17I5,01-06-2023,NSE,EQ,EQ,buy,FALSE,50,51,28436952,1.10E+15,2023-06-01T13:18:02
GOLDBEES,INF204KB17I5,01-06-2023,NSE,EQ,EQ,buy,FALSE,1,51,28436955,1.10E+15,2023-06-01T13:18:02
NIFTYBEES,INF204KB14I2,01-06-2023,NSE,EQ,EQ,buy,FALSE,10,203,53653924,1.20E+15,2023-06-01T14:23:12
NIFTYBEES,INF204KB14I2,07-06-2023,NSE,EQ,EQ,buy,FALSE,10,204.95,53387782,1.20E+15,2023-06-07T13:55:04
AMARAJABAT,INE885A01032,21-06-2023,NSE,EQ,EQ,sell,FALSE,1,641,3441769,1.00E+15,2023-06-21T14:15:28
JYOTHYLAB,INE668F01031,01-09-2023,NSE,EQ,EQ,sell,FALSE,10,360,42501920,1.20E+15,2023-09-01T11:06:48
CREDITACC,INE741K01010,04-09-2023,NSE,EQ,EQ,buy,FALSE,2,1460,3423774,1.00E+15,2023-09-04T12:39:06
GMDCLTD,INE131A01031,27-09-2023,NSE,EQ,EQ,buy,FALSE,10,283.6,23688653,1.10E+15,2023-09-27T12:49:37
INFY,INE009A01021,28-09-2023,NSE,EQ,EQ,buy,FALSE,2,1460,20844516,1.10E+15,2023-09-28T09:43:20
HAPPSTMNDS,INE419U01012,28-09-2023,BSE,EQ,A,buy,FALSE,5,888,57764500,1.70E+18,2023-09-28T12:30:57
GMDCLTD,INE131A01031,29-09-2023,BSE,EQ,A,sell,FALSE,10,317,100858200,1.70E+18,2023-09-29T15:24:14
HINDCOPPER,INE531E01026,29-09-2023,NSE,EQ,EQ,buy,FALSE,10,162.95,26318978,1.10E+15,2023-09-29T15:28:49
HDFCBANK,INE040A01034,04-10-2023,NSE,EQ,EQ,buy,FALSE,1,1523.35,25061349,1.10E+15,2023-10-04T13:27:43
HINDCOPPER,INE531E01026,04-10-2023,NSE,EQ,EQ,buy,FALSE,2,153.95,25066431,1.10E+15,2023-10-04T13:28:05
GOLDBEES-E,INF204KB17I5,04-10-2023,BSE,EQ,E,buy,FALSE,1,48.41,1998500,1.70E+18,2023-10-04T13:34:18
CREDITACC,INE741K01010,23-10-2023,NSE,EQ,EQ,sell,FALSE,2,1510.5,3259046,1.00E+15,2023-10-23T12:39:12
HINDCOPPER,INE531E01026,29-11-2023,BSE,EQ,A,sell,FALSE,12,174.25,4565800,1.70E+18,2023-11-29T14:50:51
OLECTRA,INE260D01016,06-12-2023,NSE,EQ,EQ,buy,FALSE,1,1228.2,42934976,1.20E+15,2023-12-06T11:11:26
OLECTRA,INE260D01016,06-12-2023,NSE,EQ,EQ,sell,FALSE,1,1212.45,44995580,1.20E+15,2023-12-06T13:18:59
COCHINSHIP,INE704P01017,06-12-2023,NSE,EQ,EQ,buy,FALSE,1,1271.6,7832125,1.00E+15,2023-12-06T13:21:50
COCHINSHIP,INE704P01017,06-12-2023,NSE,EQ,EQ,sell,FALSE,1,1250,8421256,1.00E+15,2023-12-06T13:47:56
GICRE,INE481Y01014,07-12-2023,NSE,EQ,EQ,buy,FALSE,1,314.95,22718850,1.10E+15,2023-12-07T10:29:49
NHPC,INE848E01016,07-12-2023,NSE,EQ,EQ,buy,FALSE,1,64.6,47695540,1.20E+15,2023-12-07T15:19:12
GICRE,INE481Y01014,12-12-2023,BSE,EQ,A,sell,FALSE,1,317.2,5353800,1.70E+18,2023-12-12T14:27:01
GOLDBEES-E,INF204KB17I5,12-12-2023,BSE,EQ,E,sell,FALSE,52,51.85,1509200,1.70E+18,2023-12-12T14:27:27
NHPC,INE848E01016,14-12-2023,NSE,EQ,EQ,sell,FALSE,1,64.9,47962382,1.20E+15,2023-12-14T15:05:49
KELLTONTEC,INE164B01022,18-12-2023,NSE,EQ,EQ,buy,FALSE,1,103.45,47804197,1.20E+15,2023-12-18T15:28:32
KIRIINDUS,INE415I01015,19-12-2023,NSE,EQ,EQ,buy,FALSE,1,401.85,47423079,1.20E+15,2023-12-19T15:25:51
KELLTONTEC,INE164B01022,20-12-2023,NSE,EQ,EQ,sell,FALSE,1,105.15,40661148,1.20E+15,2023-12-20T09:27:21
KIRIINDUS,INE415I01015,20-12-2023,NSE,EQ,EQ,sell,FALSE,1,398,40705046,1.20E+15,2023-12-20T09:28:23
OIL,INE274J01014,20-12-2023,NSE,EQ,EQ,buy,FALSE,1,362.95,51235846,1.20E+15,2023-12-20T15:24:52
OIL,INE274J01014,21-12-2023,BSE,EQ,A,sell,FALSE,1,381,10844100,1.70E+18,2023-12-21T14:18:04
NAZARA,INE418L01021,21-12-2023,NSE,EQ,EQ,buy,FALSE,1,876.7,48267955,1.20E+15,2023-12-21T15:10:52
NAZARA,INE418L01021,28-12-2023,NSE,EQ,EQ,sell,FALSE,1,851.75,48087068,1.20E+15,2023-12-28T15:27:23
POONAWALLA,INE511C01022,29-12-2023,NSE,EQ,EQ,buy,FALSE,6,433.75,45519039,1.20E+15,2023-12-29T14:15:34
NAUKRI,INE663F01024,02-01-2024,NSE,EQ,EQ,sell,FALSE,2,5100.3,46737774,1.20E+15,2024-01-02T14:00:40
POONAWALLA,INE511C01022,11-01-2024,BSE,EQ,A,sell,FALSE,2,489.2,295749400,1.70E+18,2024-01-11T15:29:37
POONAWALLA,INE511C01022,11-01-2024,BSE,EQ,A,sell,FALSE,3,489.1,295749600,1.70E+18,2024-01-11T15:29:37
POONAWALLA,INE511C01022,11-01-2024,BSE,EQ,A,sell,FALSE,1,489.3,295749200,1.70E+18,2024-01-11T15:29:37
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,5,799.1,6731400,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,1,799.1,6731401,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,1,799.1,6731402,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,1,799.1,6731403,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,1,799.1,6731404,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,6,799.1,6731405,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,14,799.15,6731406,1.00E+15,2024-01-18T14:24:54
CENTURYPLY,INE348B01021,18-01-2024,NSE,EQ,EQ,buy,FALSE,1,799.1,6731399,1.00E+15,2024-01-18T14:24:54
ELECON,INE205B01023,20-01-2024,NSE,EQ,EQ,buy,FALSE,10,1091,22614137,1.10E+15,2024-01-20T10:06:13
HDFCBANK,INE040A01034,20-01-2024,NSE,EQ,EQ,buy,FALSE,10,1482,24685013,1.10E+15,2024-01-20T11:36:21
ELECON,INE205B01023,20-01-2024,NSE,EQ,EQ,buy,FALSE,5,1080,27911403,1.10E+15,2024-01-20T14:40:46
SBICARD,INE018E01016,20-01-2024,NSE,EQ,EQ,buy,FALSE,8,745,67181937,1.30E+15,2024-01-20T15:23:15
SBICARD,INE018E01016,20-01-2024,NSE,EQ,EQ,buy,FALSE,24,744.4,67256011,1.30E+15,2024-01-20T15:26:28
SBICARD,INE018E01016,20-01-2024,NSE,EQ,EQ,buy,FALSE,6,744.4,67256010,1.30E+15,2024-01-20T15:26:28
SBICARD,INE018E01016,23-01-2024,BSE,EQ,A,buy,FALSE,2,734.7,221113800,1.71E+18,2024-01-23T12:07:13
ELECON,INE205B01023,23-01-2024,NSE,EQ,EQ,buy,FALSE,2,1010,35540822,1.10E+15,2024-01-23T15:10:23
ASIANPAINT,INE021A01026,25-01-2024,NSE,EQ,EQ,buy,FALSE,1,2959.75,3808291,1.00E+15,2024-01-25T12:24:16
MOIL,INE490G01020,25-01-2024,NSE,EQ,EQ,buy,FALSE,2,343.45,47452629,1.20E+15,2024-01-25T13:48:12
MOIL,INE490G01020,25-01-2024,NSE,EQ,EQ,buy,FALSE,8,345.7,47504663,1.20E+15,2024-01-25T13:50:26
MOIL,INE490G01020,25-01-2024,NSE,EQ,EQ,buy,FALSE,50,345.7,47504662,1.20E+15,2024-01-25T13:50:26
MOIL,INE490G01020,30-01-2024,NSE,EQ,EQ,sell,FALSE,1,349.6,43755863,1.20E+15,2024-01-30T10:42:14
MOIL,INE490G01020,30-01-2024,NSE,EQ,EQ,sell,FALSE,33,349.6,43755865,1.20E+15,2024-01-30T10:42:14
MOIL,INE490G01020,30-01-2024,NSE,EQ,EQ,sell,FALSE,7,349.6,43755864,1.20E+15,2024-01-30T10:42:14
MOIL,INE490G01020,30-01-2024,NSE,EQ,EQ,sell,FALSE,19,349.6,43755862,1.20E+15,2024-01-30T10:42:14
SBICARD,INE018E01016,31-01-2024,NSE,EQ,EQ,buy,FALSE,1,710,63085285,1.30E+15,2024-01-31T10:19:53
HINDUNILVR,INE030A01027,01-02-2024,NSE,EQ,EQ,sell,FALSE,2,2505,25044752,1.10E+15,2024-02-01T10:55:14
INFY,INE009A01021,01-02-2024,BSE,EQ,A,sell,FALSE,8,1675,8604600,1.71E+18,2024-02-01T11:02:22
CAMS,INE596I01012,02-02-2024,BSE,EQ,A,sell,FALSE,2,2905,132023800,1.71E+18,2024-02-02T12:16:17
MISHTANN,INE094S01041,05-02-2024,BSE,EQ,B,buy,FALSE,300,24.85,33528500,1.71E+18,2024-02-05T11:05:23
MISHTANN,INE094S01041,05-02-2024,BSE,EQ,B,buy,FALSE,200,25.2,56872300,1.71E+18,2024-02-05T14:28:47
MISHTANN,INE094S01041,05-02-2024,BSE,EQ,B,sell,FALSE,300,23.67,59373400,1.71E+18,2024-02-05T14:38:29
MISHTANN,INE094S01041,05-02-2024,BSE,EQ,B,sell,FALSE,200,23.85,60017800,1.71E+18,2024-02-05T14:40:54
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1045.7,30652861,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,7,1045.7,30652862,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1046.05,30652855,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1046.05,30652856,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,4,1045.8,30652857,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1045.7,30652858,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1045.7,30652859,1.10E+15,2024-02-06T14:31:27
ELECON,INE205B01023,06-02-2024,NSE,EQ,EQ,sell,FALSE,1,1045.7,30652860,1.10E+15,2024-02-06T14:31:27
ATGL,INE399L01023,06-02-2024,NSE,EQ,EQ,buy,FALSE,20,992,8030359,1.00E+15,2024-02-06T15:14:32
AVANTIFEED,INE871C01038,07-02-2024,NSE,EQ,EQ,buy,FALSE,12,566.05,2255616,1.00E+15,2024-02-07T10:02:23
AVANTIFEED,INE871C01038,07-02-2024,NSE,EQ,EQ,buy,FALSE,2,566.05,2255615,1.00E+15,2024-02-07T10:02:23
AVANTIFEED,INE871C01038,07-02-2024,NSE,EQ,EQ,buy,FALSE,3,566.05,2255617,1.00E+15,2024-02-07T10:02:23
AVANTIFEED,INE871C01038,07-02-2024,NSE,EQ,EQ,buy,FALSE,3,566.05,2255618,1.00E+15,2024-02-07T10:02:23
AVANTIFEED,INE871C01038,07-02-2024,NSE,EQ,EQ,sell,FALSE,20,554.8,4023831,1.00E+15,2024-02-07T11:07:06
ASIANPAINT,INE021A01026,07-02-2024,BSE,EQ,A,buy,FALSE,12,2954.45,3009300,1.71E+18,2024-02-07T12:09:16
ASIANPAINT,INE021A01026,07-02-2024,BSE,EQ,A,buy,FALSE,1,2954.3,3008900,1.71E+18,2024-02-07T12:09:16
ASIANPAINT,INE021A01026,07-02-2024,BSE,EQ,A,buy,FALSE,1,2954.35,3009100,1.71E+18,2024-02-07T12:09:16
CENTURYPLY,INE348B01021,07-02-2024,NSE,EQ,EQ,sell,FALSE,30,719.2,5910449,1.00E+15,2024-02-07T12:45:56
KPITTECH,INE04I401011,08-02-2024,NSE,EQ,EQ,buy,FALSE,10,1685,42848812,1.20E+15,2024-02-08T09:58:04
KPITTECH,INE04I401011,08-02-2024,NSE,EQ,EQ,sell,FALSE,8,1673.1,45108545,1.20E+15,2024-02-08T11:03:34
KPITTECH,INE04I401011,08-02-2024,NSE,EQ,EQ,sell,FALSE,2,1673.15,45108544,1.20E+15,2024-02-08T11:03:34
GENSOL,INE06H201014,08-02-2024,NSE,EQ,EQ,buy,FALSE,15,1189.9,26336866,1.10E+15,2024-02-08T11:50:20
GENSOL,INE06H201014,08-02-2024,NSE,EQ,EQ,sell,FALSE,15,1192,28547978,1.10E+15,2024-02-08T13:25:28
JIOFIN,INE758E01017,09-02-2024,NSE,EQ,EQ,buy,FALSE,10,265.7,42585808,1.20E+15,2024-02-09T09:48:48
JIOFIN,INE758E01017,09-02-2024,NSE,EQ,EQ,buy,FALSE,10,264,43013347,1.20E+15,2024-02-09T09:54:26
JIOFIN,INE758E01017,09-02-2024,NSE,EQ,EQ,buy,FALSE,10,263,43460074,1.20E+15,2024-02-09T10:00:56
INOXWIND,INE066P01011,09-02-2024,NSE,EQ,EQ,buy,FALSE,10,534,23499883,1.10E+15,2024-02-09T10:07:07
INOXWIND,INE066P01011,09-02-2024,NSE,EQ,EQ,buy,FALSE,10,532,23647947,1.10E+15,2024-02-09T10:10:29
INOXWIND,INE066P01011,09-02-2024,NSE,EQ,EQ,buy,FALSE,5,530,24766220,1.10E+15,2024-02-09T10:46:49
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,500,39.8,530872,1.00E+15,2024-02-12T09:22:09
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,501,39.75,679539,1.00E+15,2024-02-12T09:25:13
INOXWIND,INE066P01011,12-02-2024,NSE,EQ,EQ,sell,FALSE,21,502.3,22677065,1.10E+15,2024-02-12T10:00:42
INOXWIND,INE066P01011,12-02-2024,NSE,EQ,EQ,sell,FALSE,4,501.9,22677066,1.10E+15,2024-02-12T10:00:42
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,sell,FALSE,501,37.75,2166440,1.00E+15,2024-02-12T10:07:38
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,sell,FALSE,500,37.8,2167571,1.00E+15,2024-02-12T10:07:41
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,1001,37.4,4069658,1.00E+15,2024-02-12T11:28:17
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,sell,FALSE,1001,36.75,4396051,1.00E+15,2024-02-12T11:47:49
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,1001,36.8,5040234,1.00E+15,2024-02-12T12:22:05
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,sell,FALSE,1001,36.05,8365366,1.00E+15,2024-02-12T15:15:09
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,122,36.45,8805714,1.00E+15,2024-02-12T15:25:35
BAJAJHIND,INE306A01021,12-02-2024,NSE,EQ,EQ,buy,FALSE,379,36.45,8805715,1.00E+15,2024-02-12T15:25:35
HDFCBANK,INE040A01034,13-02-2024,NSE,EQ,EQ,buy,FALSE,10,1391.95,20004001,1.10E+15,2024-02-13T09:07:34
BAJAJHIND,INE306A01021,13-02-2024,NSE,EQ,EQ,sell,FALSE,501,35.7,427523,1.00E+15,2024-02-13T09:20:52
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,buy,FALSE,2,747.55,781100,1.00E+15,2024-02-13T09:26:09
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,buy,FALSE,5,747.65,781102,1.00E+15,2024-02-13T09:26:09
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,buy,FALSE,2,747.8,781103,1.00E+15,2024-02-13T09:26:09
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,buy,FALSE,1,747.8,781104,1.00E+15,2024-02-13T09:26:09
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,buy,FALSE,10,747.65,781101,1.00E+15,2024-02-13T09:26:09
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,sell,FALSE,6,748.75,2214481,1.00E+15,2024-02-13T09:59:00
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,sell,FALSE,2,748.75,2214480,1.00E+15,2024-02-13T09:59:00
CENTURYPLY,INE348B01021,13-02-2024,NSE,EQ,EQ,sell,FALSE,5,748.7,2214482,1.00E+15,2024-02-13T09:59:00
